finger_0_x, finger_0_y, finger_0_z, finger_1_x, finger_1_y, finger_1_z, finger_2_x, finger_2_y, finger_2_z, finger_3_x, finger_3_y, finger_3_z, imp00, imp01, imp02, imp03, imp10, imp11, imp12, imp13, imp20, imp21, imp22, imp23, imp30, imp31, imp32, imp33, trq00, trq01, trq02, trq03, trq10, trq11, trq12, trq13, trq20, trq21, trq22, trq23, trq30, trq31, trq32, trq33, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0567169, -0.0195821, -0.00654818, 0.001, -0.0471363, -0.0143454, -0.00440037, 0.0266485, 0.06, -0.00308574, 0.00683541, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, 0.0220885, 0.0476667, 0.0171806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.210911, 0.126703, 0.053449, 0.001, 0.206743, 0.124425, 0.0525147, 0.001, 0.220185, 0.131772, 0.055528, -0.109713, 0.06, 0.276194, 0.132914, 
